	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
88	0.695843151882381	0.5373135625702467	0.06349506204934582	9.912504418034422	169	0.7782677017793639	0.12974420890574895	2	1.5*mean	0.5416154278199884	0.049498593353656355	-42.124947	-3111.2114	-25.659891	-93.28127	-36.351643	-661.7258	1369.5516	6
89	0.6643760663030718	2.431397400662143	0.0391934047296964	4.921401692413742	185	0.3750900715000355	7.217739636196643	9	0.5*mean	0.2898161943186188	0.12238572806497602	-47.196228	-3111.5613	-25.750978	-93.28376	-39.823555	-663.52313	1368.729	73
90	0.741934859513135	2.4752234000304205	0.014133782392718727	3.9159040032282757	358	5.537744270450904	0.5342881449828911	8	median	0.3182448924203933	0.29176418593127773	-48.086483	-3111.822	-26.170835	-93.48055	-39.13312	-663.7386	1368.7548	91
91	0.8214286415472433	2.4484027857002806	0.02364747941193392	4.5067781801832405	235	0.03362231622356515	0.33759024810643257	8	1.5*mean	0.253151358480931	0.46585943317551937	-47.353794	-3111.1692	-25.9125	-91.576164	-37.035065	-662.6094	1369.0133	26
92	0.9392444339170984	3.4620276814445727	0.035635936399231315	1.8286979635288996	282	2.2840294724980397	0.10459976956035957	2	mean	0.2075527635315703	0.08350836447135779	-50.23453	-3111.7444	-26.22579	-93.38473	-39.78575	-664.275	1368.408	120
93	0.787899992477936	3.6590727052999146	0.15128273073636683	9.098785619897486	314	15.901595625015398	7.813693989366526	6	0.5*median	0.6357717468609972	0.4541138920646604	-50.16245	-3111.9397	-25.570946	-93.58558	-42.11229	-664.6742	1368.2938	132
94	0.7639965944863918	1.70020249653703	0.06453758283159924	1.720284205294782	168	0.1497969077465002	0.016067689528529227	10	1.5*median	0.20328274569745783	0.3203441370874229	-49.103947	-3111.7173	-25.994165	-93.22	-39.29601	-663.8663	1368.6228	102
95	0.8386730066250904	3.191024419646522	0.010575400001481725	1.754072830647849	345	47.44629819749368	10.832071494269014	10	mean	0.32997065767955625	0.01599094974090532	-52.825256	-3112.0205	-26.451036	-94.28269	-43.253647	-665.7666	1367.7258	150
96	0.8011483719707394	4.779605701910761	0.024703695364742668	8.117484681147161	388	0.029408818192416968	8.968864276232416	3	1.5*median	0.5331755477624787	0.3220944183891968	-48.6366	-3111.8079	-25.596687	-93.24867	-40.710197	-664.00006	1368.598	110
97	0.6580244674370774	0.6753380095283353	0.023514256160842625	5.6345359911884545	251	0.044829226886915534	1.2248423496114231	9	0.5*median	0.2384765503582712	0.24765325980515976	-40.085598	-3111.119	-25.963848	-92.46936	-36.475666	-661.22266	1369.7761	2
98	0.8736324347303441	4.881474966983849	0.06792509488642771	3.4684456832668373	280	0.14603082427904962	13.692437602307393	2	1.5*median	0.23501142866823554	0.01960017623909807	-49.002274	-3111.775	-25.501802	-92.97774	-38.92297	-663.63586	1368.7852	82
99	0.9078790201882629	0.7244071543079725	0.013633333557889454	6.642614150136434	175	0.399976649437636	24.574065424703072	7	median	0.34773448609672153	0.04240409509202212	-50.587727	-3111.9185	-25.835585	-93.69892	-40.83452	-664.5751	1368.3392	128
100	0.8184744101922627	1.046985083078759	0.016493709844386726	9.850225014566556	148	0.02388692877775639	0.4011250825268925	2	median	0.31657978184864305	0.0905281545347885	-46.179806	-3111.617	-25.61603	-93.537125	-36.169205	-662.6238	1369.2749	28
